Item,Quantity,Rate,Value_Without_Tax
cl DAZZLE  DINNER SET 9 PCS,50.0,1016.1,23649.72
cl ROYALE MIXING BOWL 1L,6.0,295.76,887.28
cl ROYALE MIXING BOWL I PC SET WLI 1.5L,6.0,380.51,1141.53
DAZZLE STELA M MUG 18CL 6PC-NEW,6.0,487.29,1461.87
pg HEALTHIFRY+DIGITAL AIR FRYER-19003964,4.0,2538.14,10152.56
pg INSTA NOODLES MAKER-19004816,7.0,423.73,2966.11
PG CERRASTEEL SS CLAD CERAMIC TAWA 280 CP-19004626,7.0,1423.81,9966.67
pg Ss Lpg Stove MAXIMA 2B-19000182,4.0,1567.8,6271.2
pg SS Lpg Stove -COMPACT 2B-19000181,3.0,1228.81,3686.43
pg Lpg Stove NEO'25 2B GT,2.0,1525.42,3050.84
pg INSTA NOODLES MAKER-19004816,1.0,423.73,423.73
PG CERRASTEEL SS CLAD CERAMIC TAWA 280 CP-19004626,1.0,1423.81,1423.81
pg Lpg Stove NEO'25 2B GT,2.0,1525.42,3050.84
pg MIXER GRINDER ORB 750W-4 JAR,2.0,2626.27,5252.54
"cl DAZZLE DINNER PLATE 11"" PLAINWARE 6PC",6.0,305.08,1793.87
hk HA STEWPOT 5L GLID - AST 50G,2.0,2142.86,3360.01
hk NS Dosa Tava 28cm - NDT28,3.0,1500.0,3592.8
hk NS Frypan 28CM-NF28,3.0,1500.0,3528.0
hk APPACHATTY 20CM WITH GLASS LID-NBFP09G,3.0,1285.71,3023.99
hk Futura NS Frying Pan 24CM -NF24,4.0,1190.48,3733.35
cl DAZZLE  DINNER SET 9 PCS,6.0,1016.1,2837.96
cl DAZZLE DINNER SET 12 PCS,6.0,1292.37,3609.58
cl DAZZLE DS 18 PCS,6.0,1843.22,5148.12
cl Dazzle Dinner set  49 pc,5.0,4490.68,10452.05
cl ROYALE MIXING BOWL I PC SET WLI 1.5L,6.0,380.51,1118.7
NATIONAL GAS LIGHTER SANTRO,36.0,33.05,1189.8
pg NUTRI BLENDER 400W 3JAR-19004620,3.0,1355.08,4065.24
pg NUTRI BLENDER-400W - 2 JAR-19004609,3.0,1185.59,3556.77
hk APPACHATTY 20CM WITH GLASS LID-NBFP09G,6.0,1285.71,6171.41
hk Diecast Pizza Maker 30 cm,1.0,2809.52,2247.62
hk Futura Cast Iron Dosa Tava 27CM-CIDT27,2.0,1880.95,3009.52
hk NS Dosa Tava 28cm - NDT28,2.0,1419.05,2270.48
hk Big Boy Biriyani Handi 8L with Lid-NBH8,1.0,3357.14,2685.71
pg MIXER GRINDER ORB 750W-4 JAR,1.0,2626.27,2626.27
pg Ss Lpg Stove MAXIMA 2B-19000182,2.0,1567.8,3135.6
pg APPACHATTY SPECIAL-19001069,10.0,393.33,3933.3
pg O/L Cooker-CALIDA 3L IB-19000025,5.0,831.43,4157.15
pg Calida Cooker 5L O/L IB,2.0,1212.38,2424.76
USHA INSTANT WATER HEATER INSTAFRESH NEO 3L WHITE,3.0,2422.88,7268.64
Usha Mixer Grinder-Thunderbolt Red 800w,3.0,2881.36,8471.2
pg RADIANCE LED LAMP,4.0,677.12,1327.16
eg JAZZ 160 FLASK,5.0,507.63,1512.34
eg ECO STEEL 350 FLASK,5.0,592.37,1764.78
eg ECO STEEL 500 FLASK,5.0,677.12,2017.27
eg ECO STEEL 1000 FLASK,5.0,1016.1,3027.16
pg IVO HEALTHIFRY+ DIGITAL AIR FRYER 5.4L-19004931,20.0,4660.17,93203.4
pg IVO HEALTHIFRY+ DIGITAL AIR FRYER 5.4L-19004931,3.0,4660.17,13980.51
pg INSTA NOODLES MAKER-19004816,4.0,423.73,1661.02
PG CERRASTEEL SS CLAD CERAMIC TAWA 280 CP-19004626,4.0,1423.81,5581.34
pg IVO HEALTHIFRY+ DIGITAL AIR FRYER 5.4L-19004931,6.0,4660.17,27401.8
"var Mini Glory Container Set 1,2,3L-045802-NEW",6.0,233.05,753.68
"var Glory Container Set 5,7,10L Assorted-DSTG0420028",6.0,507.63,1492.43
var shaker 575 mL-AQUA0207028,6.0,160.17,517.99
var SS Tumbler 500 ml. Assorted-AQUA0209028,6.0,189.52,612.91
var Multi Container 530 ml.  DSTG0012028,6.0,122.88,397.39
var Store N Stack Round 500 ML-DSTG0501-NEW,6.0,177.12,572.81
var Store N Stack 750 ml.SF3-DSTG0502-NEW,8.0,202.54,873.36
var Store N Stack Square 1750 ml. Assorted- DSTG0516028,6.0,168.64,545.38
var Store N Stack 2500 ML-DSTG0515006,6.0,168.64,545.38
var Store N Stack Round 2000 ML-DSTG0514,4.0,185.59,400.13
var Royal Balti 17 Ltr-BATH0204028,2.0,405.93,377.92
var Crystal Mug 1.5L-BATH0401128,2.0,73.73,72.26
pg EVA INFRARED COOKTOP 2000W-19003278,2.0,2207.63,4326.95
PG CERRASTEEL SS CLAD CERAMIC TAWA 280 CP-19004626,2.0,1423.81,1395.33
pg Ultra Fast Electric Chopper,2.0,1072.03,2101.18
chk Inner Lid Cooker 6L,1.0,1358.1,1358.1
chk Inner Lid Cooker 7L,1.0,1691.43,1691.43
chk Inner Lid Cooker 8L,1.0,1851.43,1851.43
chk Inner Lid Cooker 10L,1.0,2240.0,2240.0
chk Inner Lid Cooker 12L,1.0,2721.9,2721.9
chk Alu. Inner Lid Cooker 3L,5.0,780.0,3900.0
chk Alu. Rice Cooker 1 KG,1.0,1552.38,1552.38
sr Rice Cooker ENERGY POT Large-1 KG,1.0,1540.0,1540.0
sr Janapriya China Pot XL-1.5 KG,2.0,1730.48,3289.99
sr Janapriya China Pot Giant-2 KG,2.0,2695.24,5124.19
chk PUTTUMAKER WITHOUT HANDLE,6.0,360.0,2160.0
chk PUTTU MAKER WITH HANDLE,6.0,382.86,2297.16
chk CHIRATTA PUTTUMAKER,6.0,94.29,565.74
