Item,Total_Quantity,Total_Sales,Average_Rate
pg EVA INFRARED COOKTOP 2000W-19003278,270.0,574059.56,2051.6613461538464
pg Lpg Stove AYUSH BLK 2B-19001659,350.0,455434.94,1336.9967021276595
pg Induction Cooktop-PRIME 1800W-19003446,485.0,350883.27,718.212578125
pg O/L Cooker-CALIDA 3L IB-19000025,244.0,346322.75,1460.31390625
pg HEALTHIFRY+DIGITAL AIR FRYER-19003964,132.0,334526.85,2538.14
pg APPACHATTY SPECIAL-19001069,711.0,319958.52999999997,571.4845283018867
pg IVO HEALTHIFRY+ DIGITAL AIR FRYER 5.4L-19004931,69.0,318914.03,4656.943076923077
pg SS COOKER INOX O/L 3L-19000336,185.0,273784.54,1509.855306122449
pg DELUXE Cooker 3L O/L-19000018,169.0,235715.7,1406.67
pg Mixer Grinder SMARTY 550W-16002630,169.0,191711.82,1144.07
pg Non Stick Duo Pack (FT 250-Fp)-19000818,169.0,162782.52,971.43
sr Janapriya China Pot XL-1.5 KG,79.0,130467.44,1730.4800000000002
cl DAZZLE DINNER SET 23 PCS,52.0,114187.35,2367.702222222222
pg Glass Top AYUSH BLK 3B,36.0,91525.31999999999,2542.37
pg Imperi Cast Iron Appachatty 220 MM-19003987,212.0,80126.8,380.0
sr Super China Pot  XL-1.5 KG,43.0,78638.44,1950.4799999999998
pg INSTA NOODLES MAKER-19004816,88.0,75759.71,867.90625
pg STORM TAWA 280 IB-19000330,111.0,70160.3,633.33
USHA INFRARED COOKTOP IR2200TCB BLACK,26.0,67699.08,2626.6455555555553
pg Ss Lpg Stove MAXIMA 2B-19000182,37.0,61655.25,1663.14
pg CORDLESS DRY IRON 1300W,95.0,58295.63,617.8
sr Super China Pot Big-1KG,40.0,58133.67,1515.24
pg STORM IB FRY PAN 240MM-19000331,84.0,51138.729999999996,609.52
pg STORM SERIES KADAI 300 IB 19000334,55.0,46432.630000000005,847.62
USHA LPG STOVE MAXUS 3B,16.0,46101.71,2940.16
VIDIEM-MIXER GRINDER VICTOR-650W (CHERRY RED)-FG-MG0202-AA,20.0,44853.66,2251.69
eg ECO STEEL 1000 FLASK,73.0,44764.63,1016.1000000000001
pg IB Inner Lid Aluminium Cooker-Storm 3L-19000254,50.0,44599.65,898.1
sr Rice Cooker ENERGY POT XL-1.5KG,23.0,44197.9,1980.0
sr Janapriya China Pot Big- 1KG,33.0,43031.42,1350.48
pg NUTRI BLENDER-400W - 2 JAR-19004609,34.0,42395.05,1247.2263636363637
pg SS Lpg Stove -COMPACT 2B-19000181,33.0,41720.43,1267.6583333333335
pg SS COOKER INOX O/L 5 L,25.0,38364.520000000004,1545.7100000000003
Usha Mixer Grinder-Thunderbolt Red 800w,12.0,37705.28,3733.7583333333337
pg IB Inner Lid Aluminium Cooker-Storm 5L-19000256,33.0,37582.89,1140.95
hk P.C. Stainless Steel 5L- HSS50,13.0,36614.19,3452.38
Usha Ceiling Fan SWIFT 1200mm Brown,24.0,34733.79,1461.86
sr Janapriya China Pot Giant-2 KG,14.0,34605.54,2534.4466666666663
hk Futura Dual Hob Induction FIC2A1,5.0,33299.229999999996,8389.83
cl DAZZLE  DINNER SET 9 PCS,69.0,32866.25,1016.1
eg ECO STEEL 750 FLASK,60.0,32191.88,888.98
pg STORM IB FRY PAN 260MM-19000332,49.0,30969.84,633.33
hk P.C. Stainless Steel Tall 3L- HSS3T,13.0,30350.82,2880.95
pg COMFY 1000W DRY IRON-,68.0,29249.75,426.05875
VIDIEM-GLASS TOP 3 BR AIR GOLD-FG-GS0295-AA,4.0,28576.28,7144.07
sr Idly Multi Kadai 14 Idly,24.0,27277.71,1190.48
pg HOT KETTLE 1.5L-19001178,58.0,26564.25,464.41
pg Swift Plus Multi Cook Kettle 1.5L,24.0,24498.9,1029.3766666666668
PORCELANA MUG-TIERRA-30  CL TWIN COLOR,199.0,23991.84,212.67076923076922
pg 1.2 L  MULTI PURPOSE KESSEL-19001663,29.0,23581.77,820.342
chk SS Rice Cooker 1.5KG,11.0,23511.129999999997,2160.95
